,time,temperature,humidity
392,1658857507.1039271,36.4,58.1
393,1658857507.3777704,36.5,58.1
394,1658857507.6523578,36.4,58.0
395,1658857507.9262064,36.5,58.0
396,1658857508.1976023,36.4,58.0
397,1658857508.4715147,36.5,58.0
398,1658857508.7453609,36.5,58.0
399,1658857509.0162134,36.4,58.0
400,1658857509.2911155,36.5,58.0
401,1658857509.5655088,36.4,58.0
402,1658857509.8393567,36.4,58.0
403,1658857510.109742,36.4,58.0
404,1658857510.38459,36.4,58.0
405,1658857510.658977,36.5,58.0
406,1658857510.9288256,36.4,58.0
407,1658857511.2032197,36.5,58.0
408,1658857511.478171,36.4,58.1
409,1658857511.752025,36.5,58.1
410,1658857512.0228732,36.5,58.1
411,1658857512.2967687,36.4,58.2
412,1658857512.571159,36.5,58.2
413,1658857512.842006,36.5,58.2
414,1658857513.1163864,36.4,58.3
415,1658857513.3902328,36.4,58.3
416,1658857513.664623,36.5,58.3
417,1658857513.9354804,36.5,58.4
418,1658857514.2098696,36.5,58.4
419,1658857514.4837797,36.4,58.4
420,1658857514.7586286,36.4,58.4
421,1658857515.0284774,36.4,58.5
422,1658857515.3033278,36.4,58.5
423,1658857515.5771832,36.4,58.5
424,1658857515.8480284,36.5,58.6
425,1658857516.1229367,36.5,58.6
426,1658857516.396783,36.5,58.6
427,1658857516.671633,36.4,58.7
428,1658857516.9414818,36.5,58.7
429,1658857517.216328,36.5,58.7
430,1658857517.4902728,36.5,58.8
431,1658857517.76512,36.4,58.9
432,1658857518.034965,36.5,58.9
433,1658857518.3096697,36.5,58.9
434,1658857518.5845153,36.5,59.0
435,1658857518.8583586,36.5,59.0
436,1658857519.129162,36.5,59.0
437,1658857519.4030085,36.5,59.0
438,1658857519.6778545,36.5,59.1
439,1658857519.951701,36.5,59.1
440,1658857520.2265503,36.5,59.1
441,1658857520.4968345,36.5,59.2
442,1658857520.7706776,36.5,59.2
443,1658857521.04552,36.5,59.2
444,1658857521.3163652,36.5,59.2
445,1658857521.5902164,36.5,59.2
446,1658857521.8650658,36.5,59.3
447,1658857522.1349144,36.5,59.3
448,1658857522.4097576,36.5,59.3
449,1658857522.683604,36.5,59.3
450,1658857522.9584503,36.5,59.3
451,1658857523.2283013,36.5,59.3
452,1658857523.5031428,36.5,59.3
453,1658857523.7769864,36.5,59.4
454,1658857524.0479634,36.5,59.4
455,1658857524.3218098,36.5,59.4
456,1658857524.5966523,36.5,59.4
457,1658857524.8714995,36.5,59.4
458,1658857525.1413474,36.5,59.4
459,1658857525.416188,36.5,59.4
460,1658857525.6900344,36.5,59.4
461,1658857525.9608831,36.5,59.4
462,1658857526.2347274,36.5,59.4
463,1658857526.5095968,36.5,59.4
464,1658857526.7834427,36.4,59.5
465,1658857527.054288,36.5,59.5
466,1658857527.3285668,36.5,59.5
467,1658857527.6028914,36.5,59.5
468,1658857527.8737397,36.5,59.5
469,1658857528.1477828,36.5,59.5
470,1658857528.4220412,36.5,59.5
471,1658857528.696887,36.5,59.5
472,1658857528.9668875,36.5,59.5
473,1658857529.241741,36.5,59.5
474,1658857529.5155866,36.5,59.5
475,1658857529.790437,36.5,59.5
476,1658857530.0602915,36.5,59.5
477,1658857530.3351436,36.5,59.5
478,1658857530.6089907,36.4,59.5
479,1658857530.879841,36.5,59.5
480,1658857531.1539855,36.5,59.5
481,1658857531.428126,36.5,59.5
482,1658857531.7029712,36.5,59.5
483,1658857531.97282,36.5,59.5
484,1658857532.2479744,36.5,59.4
485,1658857532.5222116,36.5,59.4
486,1658857532.7960577,36.5,59.4
487,1658857533.0669057,36.5,59.4
488,1658857533.3407528,36.5,59.4
489,1658857533.6155958,36.5,59.4
490,1658857533.8859706,36.5,59.4
491,1658857534.1608133,36.5,59.4
492,1658857534.4346602,36.5,59.4
493,1658857534.7095056,36.5,59.4
494,1658857534.979351,36.5,59.4
495,1658857535.2542045,36.4,59.4
496,1658857535.5280542,36.5,59.4
497,1658857535.7989025,36.5,59.4
498,1658857536.0727456,36.5,59.4
499,1658857536.3475916,36.5,59.3
500,1658857536.6214406,36.5,59.3
501,1658857536.8922846,36.5,59.3
502,1658857537.1671307,36.5,59.3
503,1658857537.4409783,36.5,59.3
504,1658857537.7111397,36.5,59.3
505,1658857537.9859843,36.5,59.3
506,1658857538.259832,36.5,59.3
507,1658857538.5349555,36.5,59.3
508,1658857538.804801,36.5,59.3
509,1658857539.0791523,36.5,59.3
510,1658857539.354,36.5,59.3
511,1658857539.6238458,36.5,59.2
512,1658857539.8986926,36.5,59.2
513,1658857540.1725385,36.5,59.2
514,1658857540.443387,36.5,59.2
515,1658857540.7182374,36.5,59.2
516,1658857540.99208,36.5,59.2
517,1658857541.2629278,36.5,59.1
518,1658857541.5367749,36.5,59.1
519,1658857541.8116171,36.5,59.1
520,1658857542.0854635,36.5,59.1
521,1658857542.3603134,36.5,59.1
522,1658857542.630166,36.5,59.1
523,1658857542.9050117,36.5,59.1
524,1658857543.178855,36.5,59.1
525,1658857543.4537003,36.5,59.1
526,1658857543.7245462,36.5,59.0
527,1658857543.9983919,36.5,59.0
528,1658857544.2732344,36.5,59.0
529,1658857544.547113,36.5,59.0
530,1658857544.8219593,36.5,59.0
531,1658857545.091808,36.5,59.0
532,1658857545.3665757,36.5,59.0
533,1658857545.6409554,36.5,58.9
534,1658857545.9147997,36.5,58.9
535,1658857546.185538,36.5,58.9
536,1658857546.4605536,36.5,58.9
537,1658857546.7349453,36.5,58.8
538,1658857547.008792,36.5,58.8
539,1658857547.2791739,36.5,58.7
540,1658857547.5535607,36.5,58.7
541,1658857547.8283691,36.5,58.7
542,1658857548.1027513,36.5,58.7
543,1658857548.3725996,36.4,58.7
544,1658857548.6469975,36.4,58.7
545,1658857548.9218469,36.5,58.6
546,1658857549.196237,36.5,58.6
547,1658857549.466084,36.4,58.6
548,1658857549.7406044,36.5,58.6
549,1658857550.015445,36.4,58.5
550,1658857550.2858472,36.5,58.5
551,1658857550.560243,36.5,58.5
552,1658857550.8340964,36.5,58.4
553,1658857551.108513,36.5,58.4
554,1658857551.3793607,36.5,58.4
555,1658857551.6537683,36.5,58.4
556,1658857551.927619,36.4,58.3
557,1658857552.202016,36.5,58.3
558,1658857552.4724116,36.5,58.3
559,1658857552.747503,36.5,58.3
560,1658857553.021349,36.4,58.3
561,1658857553.2957394,36.5,58.3
562,1658857553.5661495,36.4,58.3
563,1658857553.8410206,36.5,58.3
564,1658857554.1154144,36.5,58.2
565,1658857554.3892617,36.5,58.2
566,1658857554.6596556,36.5,58.2
567,1658857554.9346879,36.4,58.2
568,1658857555.2090707,36.5,58.2
569,1658857555.4786575,36.4,58.2
570,1658857555.7535074,36.5,58.2
571,1658857556.0283532,36.5,58.2
572,1658857556.3027325,36.4,58.1
573,1658857556.573124,36.4,58.1
574,1658857556.84705,36.4,58.0
575,1658857557.1216285,36.5,58.0
